product,region,mae,rmse,mape
ACB(Air Circuit Breaker),Central,31.292139025517663,39.651081976771174,37.749895497355766
ACB(Air Circuit Breaker),East,52.02785158507923,68.75394799222848,96.72194803274324
ACB(Air Circuit Breaker),North,78.21251164502594,105.5331526887048,67.42062626750914
ACB(Air Circuit Breaker),South,34.45662810407021,34.54250625209616,38.023887945535435
ACB(Air Circuit Breaker),West,43.21188116505394,58.9246118929063,52.90743320721727
AIS(Air Insulated Switchgear),Central,541.8757399096112,749.1427213042268,79.26358128483844
AIS(Air Insulated Switchgear),East,719.0769741424793,1139.7453506959168,81.33671288272414
AIS(Air Insulated Switchgear),North,576.5204321571429,771.3217294963764,94.9374834256388
AIS(Air Insulated Switchgear),South,540.6759874561129,672.1692419449627,37.874587650721764
AIS(Air Insulated Switchgear),West,533.2335281998866,807.0104590342446,72.9781963021276
E-House,Central,53.38529589600942,79.36510261885995,90.34034906356335
E-House,East,77.24637499269922,105.8964842807815,37.48480319559957
E-House,North,302.34363882922645,400.30191608503003,282.162512956503
E-House,South,98.40241587709316,137.32111509056065,96.89994570128694
E-House,West,122.54351763729022,143.75654955783043,48.36324550594888
PSS(Compact Sub-Stations),Central,180.62838391257048,255.6271110402609,76.00950311480746
PSS(Compact Sub-Stations),East,233.91754281156753,303.2882665830717,107.48124961901195
PSS(Compact Sub-Stations),North,225.07785751990937,276.3431186423913,47.34981016143806
PSS(Compact Sub-Stations),South,204.38264622496305,262.36256096007105,98.52361357892796
PSS(Compact Sub-Stations),West,199.12764156730938,280.11823062616094,99.7677555150535
RMU(Ring Main Unit),Central,460.44212563915204,651.909566265301,83.00535754996405
RMU(Ring Main Unit),East,319.64376294094643,343.6302922338707,36.9807577157914
RMU(Ring Main Unit),North,389.75909994821535,577.4010517558702,101.6989373576775
RMU(Ring Main Unit),South,190.5699492284421,253.62199279276874,92.15194070275956
RMU(Ring Main Unit),West,425.2330343168759,751.9609269790129,145.06495717178458
VCB(Vacuum Circuit Breaker),Central,78.42696435654588,106.94716161563339,78.18986764207013
VCB(Vacuum Circuit Breaker),East,47.55532786151852,72.34816745545872,66.04568216795082
VCB(Vacuum Circuit Breaker),North,71.34362068731767,98.85748982371712,51.57938235431193
VCB(Vacuum Circuit Breaker),South,111.55151587459393,213.51755838557733,116.62980280078028
VCB(Vacuum Circuit Breaker),West,49.04002086175622,70.46029668120512,39.12102638181848
VCU(Vacuum Contactor Units),Central,179.82877934197094,259.82450647390135,117.78723486116773
VCU(Vacuum Contactor Units),East,112.25501925897545,143.2754190448156,54.40504885458931
VCU(Vacuum Contactor Units),North,165.18121461626905,224.29774554661756,84.13986001003275
VCU(Vacuum Contactor Units),South,202.33801150219372,343.2041886139267,56.924834015184366
VCU(Vacuum Contactor Units),West,232.5446462473301,382.1199444214162,114.13367009568314
