product,region,mae,rmse,mape
ACB(Air Circuit Breaker),Central,30.872231486655707,37.48472542762651,44.87173778789615
ACB(Air Circuit Breaker),East,15.603683425134685,25.831728430343126,29.33022193180048
ACB(Air Circuit Breaker),North,134.16055603084004,146.55924486253934,175.1856181410147
ACB(Air Circuit Breaker),South,53.01201054886357,56.07060350465279,54.820687772407815
ACB(Air Circuit Breaker),West,133.77310227250422,159.83687170113032,559.9700095927411
AIS(Air Insulated Switchgear),Central,539.6122699320694,752.5541880842661,78.17853793241696
AIS(Air Insulated Switchgear),East,649.5567559633818,1002.8732529944357,70.9766569224847
AIS(Air Insulated Switchgear),North,614.6788149032013,778.5546219120762,91.15200345211109
AIS(Air Insulated Switchgear),South,594.80402352283,701.8224585012438,39.07551705644205
AIS(Air Insulated Switchgear),West,475.50455937403956,728.5474255414807,69.23481540146071
BBT(Busbar Trunking),Central,99.56283474382383,154.06213568258832,284.30240259396044
BBT(Busbar Trunking),South,18.30412527404401,18.30412527404401,79.58315336540875
E-House,Central,68.78301070937962,84.46155763639378,93.4675756789509
E-House,East,88.80211898837273,111.9278441579826,48.88895669664456
E-House,North,192.90294364006925,276.135943601914,186.33178772149213
E-House,South,75.17949755506737,85.87669746069739,58.300620831374495
E-House,West,145.66459201698575,159.10983149672086,60.753321899590375
MCCB(Moduled Case Circuit Breaker),East,38.94141423540662,61.60029101858223,36.00636003594448
MCCB(Moduled Case Circuit Breaker),North,80.18805796483548,111.67492787550613,112.36726439453204
MCCB(Moduled Case Circuit Breaker),South,414.23319886999184,565.1609421708655,501.40608235479647
MCCB(Moduled Case Circuit Breaker),West,29.70468504471144,32.4009776144095,41.75619780102742
Modular Switches,North,92.32825320382634,92.4543982220575,254.95934269513958
PSS(Compact Sub-Stations),Central,180.87046000525802,274.3699515807787,84.73285676365315
PSS(Compact Sub-Stations),East,265.7281924026282,344.00481181821425,126.1918018959816
PSS(Compact Sub-Stations),North,200.38033012505724,255.57509448596844,42.90999106500835
PSS(Compact Sub-Stations),South,232.24305542631552,281.8810645256288,103.841380872642
PSS(Compact Sub-Stations),West,202.20717693539729,273.70679405450755,96.12703822801538
RMU(Ring Main Unit),Central,453.9608319891459,686.2075406147536,84.81126953846115
RMU(Ring Main Unit),East,308.3343381253924,348.7527794110788,43.22889092445159
RMU(Ring Main Unit),North,433.39183252193624,719.4278542554845,138.3615649653919
RMU(Ring Main Unit),South,220.30985216597162,285.0733294133938,138.47653430773676
RMU(Ring Main Unit),West,371.57546835945834,628.3008047176545,120.35227870237833
SDF(Switch Disconnectors),Central,418.3365693471668,563.6285770613066,6677.94637157443
SDF(Switch Disconnectors),East,195.92070200833433,198.2162810947477,1178.210371784036
SDF(Switch Disconnectors),North,20809.854555307575,29428.29408722585,43353.94592747955
SDF(Switch Disconnectors),South,160.10379091232113,160.10379091232113,228.71970130331582
Starter,East,17.07724287767997,17.07724287767997,63.249047695111
VCB(Vacuum Circuit Breaker),Central,106.13621746888006,137.32982741203003,96.04179499969841
VCB(Vacuum Circuit Breaker),East,55.10293356927505,64.79340558329415,81.86443851307612
VCB(Vacuum Circuit Breaker),North,69.58030907518548,104.42422731291417,45.27731845271196
VCB(Vacuum Circuit Breaker),South,59.246023906663154,71.98821737042859,61.97413763827008
VCB(Vacuum Circuit Breaker),West,52.56039212802557,78.5148350615429,50.15212046232246
VCU(Vacuum Contactor Units),Central,184.53052870719094,266.80361444926393,122.81949550527895
VCU(Vacuum Contactor Units),East,123.43613324232253,143.00618526247086,58.255424262161924
VCU(Vacuum Contactor Units),North,169.08371743190372,257.6741473994966,89.07398046016856
VCU(Vacuum Contactor Units),South,122.21866906810637,153.73637820364922,56.979676427278726
VCU(Vacuum Contactor Units),West,247.3787237071327,385.358733324005,132.28958123494715
