product,region,price_bucket,price_midpoint,discount_pct,original_avg_demand,predicted_demand,demand_change_pct,elasticity_used
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,0,1168.08,1168.08,0.0,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,5,1168.08,1172.65,0.4,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,10,1168.08,1177.49,0.8,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,15,1168.08,1182.62,1.2,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,20,1168.08,1188.09,1.7,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,25,1168.08,1193.94,2.2,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,30,1168.08,1200.23,2.8,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,35,1168.08,1207.02,3.3,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,40,1168.08,1214.4,4.0,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,45,1168.08,1222.47,4.7,-0.076
RMU(Ring Main Unit),West,2537.96-2784.72,2659.17,50,1168.08,1231.37,5.4,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,0,1365.86,1365.86,0.0,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,5,1365.86,1371.2,0.4,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,10,1365.86,1376.85,0.8,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,15,1365.86,1382.86,1.2,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,20,1365.86,1389.25,1.7,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,25,1365.86,1396.1,2.2,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,30,1365.86,1403.45,2.8,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,35,1365.86,1411.39,3.3,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,40,1365.86,1420.01,4.0,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,45,1365.86,1429.45,4.7,-0.076
RMU(Ring Main Unit),West,2784.72-3031.48,2908.06,50,1365.86,1439.85,5.4,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,0,1284.83,1284.83,0.0,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,5,1284.83,1289.86,0.4,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,10,1284.83,1295.18,0.8,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,15,1284.83,1300.83,1.2,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,20,1284.83,1306.84,1.7,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,25,1284.83,1313.28,2.2,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,30,1284.83,1320.19,2.8,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,35,1284.83,1327.66,3.3,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,40,1284.83,1335.77,4.0,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,45,1284.83,1344.65,4.7,-0.076
RMU(Ring Main Unit),West,3031.48-3278.24,3180.61,50,1284.83,1354.44,5.4,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,0,1434.75,1434.75,0.0,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,5,1434.75,1440.36,0.4,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,10,1434.75,1446.3,0.8,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,15,1434.75,1452.61,1.2,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,20,1434.75,1459.33,1.7,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,25,1434.75,1466.51,2.2,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,30,1434.75,1474.24,2.8,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,35,1434.75,1482.58,3.3,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,40,1434.75,1491.64,4.0,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,45,1434.75,1501.55,4.7,-0.076
RMU(Ring Main Unit),West,3278.24-3525.00,3404.03,50,1434.75,1512.48,5.4,-0.076
