Partner_id,Product_id,Geography,Stockist_Type,Scheme_Type,Sales_Value_Last_Period,Sales_Quantity_Last_Period,MRP,Growth_Percentage,Discount_Applied,Bulk_Purchase_Tendency,New_Stockist,Feedback_Score
P1003,Solar Solutions,East,Retailer,Cashback,376425.03,443,47046.08,10.97,7.38,Low,True,4.7
P1003,Solar Solutions,West,Distributor,Cashback,61771.12,325,41918.42,17.68,14.96,High,True,3.7
P1002,Solar Solutions,West,Wholesaler,Cashback,207420.87,73,39077.33,45.16,18.94,High,False,1.46
P1003,Solar Solutions,South,Wholesaler,Cashback,408704.8,185,14999.97,40.79,0.55,High,True,4.19
P1002,Solar Solutions,North,Wholesaler,Cashback,63763.23,187,37938.53,37.15,16.52,High,True,1.48
P1002,Solar Solutions,West,Distributor,Cashback,200206.77,438,19081.93,28.88,0.84,High,True,3.26
P1001,Solar Solutions,East,Wholesaler,Cashback,69114.66,314,10816.36,47.84,15.65,Low,False,2.37
P1002,Solar Solutions,South,Distributor,Cashback,147653.0,364,30034.72,46.54,10.15,Low,True,1.11
P1002,Solar Solutions,West,Retailer,Cashback,399678.32,213,20984.44,48.63,3.7,Medium,False,2.83
P1003,Solar Solutions,East,Retailer,Cashback,241431.53,331,13532.76,44.51,13.25,Low,True,1.39
P1003,Solar Solutions,East,Distributor,Cashback,348536.48,405,15101.03,-6.69,8.55,Low,True,2.78
P1003,Solar Solutions,East,Retailer,Cashback,368756.4,118,2811.56,30.83,14.36,High,True,3.14
P1003,Solar Solutions,West,Retailer,Cashback,221129.57,204,18239.81,43.85,14.82,High,True,2.62
P1001,Solar Solutions,West,Distributor,Cashback,324741.02,220,18194.28,46.07,14.9,Low,True,2.29
P1001,Solar Solutions,West,Wholesaler,Cashback,272766.42,187,48657.36,25.42,14.56,Low,True,3.16
P1003,Solar Solutions,East,Distributor,Cashback,207557.1,410,6132.1,-5.4,4.12,High,False,2.07
P1001,Solar Solutions,East,Wholesaler,Cashback,388291.61,442,40523.3,-2.87,6.75,Low,True,4.43
P1002,Solar Solutions,East,Distributor,Cashback,167997.29,164,12813.81,11.43,8.89,Medium,False,4.44
P1001,Solar Solutions,South,Retailer,Cashback,104373.6,67,2033.08,-8.41,15.75,Medium,False,2.69
P1002,Solar Solutions,East,Distributor,Cashback,360928.13,308,45831.83,25.37,16.08,Medium,True,1.09
P1003,Solar Solutions,South,Retailer,Cashback,289087.2,74,19713.21,39.87,2.04,Medium,False,2.56
P1003,Solar Solutions,North,Wholesaler,Cashback,416269.42,460,43054.4,48.5,8.16,Medium,True,2.52
P1001,Solar Solutions,East,Wholesaler,Cashback,305592.21,168,11468.42,3.77,10.56,High,False,3.34
P1001,Solar Solutions,West,Distributor,Cashback,214628.27,99,32686.03,-2.7,5.2,Low,True,3.84
P1003,Solar Solutions,East,Wholesaler,Cashback,58372.54,193,9905.13,49.44,7.65,High,False,2.21
P1002,Solar Solutions,North,Retailer,Cashback,472361.74,208,31099.76,37.75,12.5,Low,True,1.82
P1003,Solar Solutions,North,Distributor,Cashback,318317.86,411,21418.58,29.31,2.48,Low,True,3.41
P1002,Solar Solutions,North,Wholesaler,Cashback,72396.84,134,48856.77,48.83,4.33,Medium,False,2.32
P1002,Solar Solutions,South,Distributor,Cashback,494537.98,201,44842.55,10.75,0.42,Low,False,1.75
P1003,Solar Solutions,West,Retailer,Cashback,26226.31,250,48255.48,-5.96,3.34,Medium,True,2.27
P1003,Solar Solutions,East,Retailer,Cashback,364737.94,116,49110.56,43.0,8.02,Low,True,4.8
P1002,Solar Solutions,West,Retailer,Cashback,78499.16,420,29775.45,30.27,2.47,Medium,True,4.31
P1001,Solar Solutions,East,Retailer,Cashback,425414.43,494,11282.86,38.13,4.19,High,False,3.77
P1001,Solar Solutions,West,Retailer,Cashback,22460.29,415,1716.59,41.24,6.76,Medium,False,4.71
P1003,Solar Solutions,South,Distributor,Cashback,464705.6,335,18204.93,12.04,10.19,Medium,True,2.97
P1003,Solar Solutions,South,Wholesaler,Cashback,320228.68,224,42150.89,8.33,5.83,Low,True,4.03
P1001,Solar Solutions,South,Retailer,Cashback,370142.64,403,1801.86,22.73,15.05,Low,False,3.79
P1002,Solar Solutions,South,Distributor,Cashback,331894.85,485,29137.27,17.79,2.03,Medium,False,3.51
P1001,Solar Solutions,South,Wholesaler,Cashback,141816.01,370,39889.02,40.68,5.47,High,False,2.12
P1002,Solar Solutions,North,Retailer,Cashback,282969.85,453,16350.12,-1.21,11.26,High,True,2.34
P1002,Solar Solutions,North,Distributor,Cashback,441310.12,369,42817.59,1.52,1.4,Low,True,1.67
P1001,Solar Solutions,South,Retailer,Cashback,116416.35,415,11148.63,36.58,1.05,Medium,False,3.32
P1002,Solar Solutions,North,Wholesaler,Cashback,293729.07,112,49053.11,29.7,15.92,Low,True,4.65
P1002,Solar Solutions,West,Distributor,Cashback,158818.53,247,1373.22,9.56,6.97,Low,True,3.65
P1002,Solar Solutions,South,Wholesaler,Cashback,350308.63,261,47215.41,13.12,18.22,Medium,True,3.09
