Partner_id,Product_id,Geography,Stockist_Type,Scheme_Type,Sales_Value_Last_Period,Sales_Quantity_Last_Period,MRP,Growth_Percentage,Discount_Applied,Bulk_Purchase_Tendency,New_Stockist,Feedback_Score
P1002,Solar Solutions,East,Wholesaler,Seasonal Offer,195613.18,384,22031.39,47.55,11.16,Low,False,2.36
P1002,ACB,North,Retailer,Cashback,400519.6,355,10259.87,48.47,1.13,High,False,1.87
P1001,BBT,East,Retailer,Cashback,229937.17,194,18661.56,12.58,15.99,Medium,True,2.91
P1002,Modular Switches,West,Wholesaler,Cashback,10760.62,209,1649.93,0.04,13.37,High,False,1.47
P1001,Pump Starter and Controller,West,Distributor,Cashback,139621.02,56,33020.52,10.19,19.14,Medium,False,1.5
P1002,RMU,East,Retailer,Seasonal Offer,322471.42,146,6642.08,48.18,9.04,High,True,2.85
P1001,VCU,West,Wholesaler,Seasonal Offer,373120.76,460,23040.13,19.91,13.13,Low,False,3.79
P1002,AIS,East,Retailer,Volume Discount,33741.81,365,41320.01,38.53,7.63,High,True,1.18
P1003,PSS,East,Wholesaler,Cashback,16674.44,25,44406.81,-0.79,9.1,Low,True,4.89
P1002,E-House,East,Distributor,Seasonal Offer,24270.71,132,40309.21,47.95,19.93,Low,False,4.63
P1003,E-House,North,Distributor,Volume Discount,196079.97,255,8509.99,36.17,1.84,Medium,True,4.09
P1003,BBT,East,Retailer,Volume Discount,202670.93,292,22907.28,-9.94,19.96,Low,False,1.78
P1002,SDF,West,Wholesaler,Seasonal Offer,454563.83,218,14022.44,6.77,10.4,Low,False,3.95
P1002,VCB,East,Wholesaler,Volume Discount,271476.6,221,24502.81,3.46,12.41,Medium,False,4.8
P1002,Modular Switches,West,Retailer,Seasonal Offer,167850.36,73,45076.45,43.31,0.87,Low,True,2.49
P1003,Controller,North,Distributor,Loyalty Points,268817.25,359,45487.44,-8.22,10.7,High,False,1.41
P1002,VCB,North,Wholesaler,Volume Discount,224128.87,53,40669.5,15.45,3.81,Medium,True,2.96
P1003,Pump Starter and Controller,West,Distributor,Loyalty Points,172693.86,122,12502.06,28.14,12.92,High,False,2.94
P1002,Pump Starter and Controller,East,Wholesaler,Volume Discount,71813.21,293,42502.22,18.79,2.38,Medium,False,3.63
