Partner_id,Product_id,Scheme_Type,Sales_Value_Last_Period,Sales_Quantity_Last_Period,MRP,Growth_Percentage,Discount_Applied,Bulk_Purchase_Tendency,New_Stockist,Feedback_Score,Geography_East,Geography_North,Geography_South,Geography_West,Stockist_Type_Distributor,Stockist_Type_Retailer,Stockist_Type_Wholesaler
P1080,Controller,Loyalty Program,171456.106025615,541,44934.09527650429,23.923448128524942,2.202317223850231,Medium,False,3.314018879022913,0,1,0,0,0,1,0
P1002,PSS,Loyalty Points,195137.86,460,48030.15,42.21,4.33,Low,True,1.36,0,0,1,0,0,1,0
P1003,Solar Solutions,Volume Discount,363902.79,287,38712.81,47.59,14.45,Medium,True,2.03,0,1,0,0,0,0,1
P1003,Pump Starter and Controller,Cashback,128025.86,82,27819.84,44.14,18.38,Low,False,3.87,0,0,1,0,1,0,0
P1069,Solar Solutions,Cashback,80109.13665532474,470,13132.007907194546,17.212703970260627,15.392146244862474,Low,True,3.985283765249292,1,0,0,0,0,0,1
P1084,Modular Switches,Cashback,122674.53475028096,52,1639.9146376909457,7.303083614175994,0.6418820148348815,Medium,True,5.0,1,0,0,0,0,0,1
P1002,VCU,Cashback,102618.29,420,30860.52,28.34,9.4,Medium,False,4.82,1,0,0,0,1,0,0
P1040,Modular Switches,Cashback,209945.2818109592,407,1981.2748304884783,29.793581859620453,17.43529491148049,High,False,1.8591021700445516,0,0,1,0,0,0,1
P1002,BBT,Loyalty Points,270903.74,133,6596.57,-4.42,16.32,Low,False,2.45,0,0,0,1,1,0,0
P1038,RMU,Loyalty Program,297335.2074373679,266,43296.21171690864,5.111274984299042,8.313933654469734,Low,True,3.3635291212446945,0,1,0,0,1,0,0
P1077,Starter,Volume Discount,212764.94504313896,79,28973.1624061431,29.09822047131061,10.024539051318046,Medium,False,3.280515896837794,0,0,1,0,1,0,0
P1001,Solar Solutions,Loyalty Points,68934.52,432,8754.84,18.08,10.58,High,False,4.45,0,1,0,0,1,0,0
P1044,MCCB,Seasonal Offer,22781.09266176592,170,23428.88484078987,10.589715438637974,7.704902548628757,High,True,3.723962010546472,0,0,0,1,0,0,1
P1001,BBT,Loyalty Points,221488.55,151,14315.41,18.64,2.47,Medium,True,1.64,0,0,0,1,0,0,1
P1003,E-House,Loyalty Points,183914.03,153,44759.51,-9.26,3.82,Medium,True,4.25,1,0,0,0,0,0,1
P1027,PSS,Volume Discount,262988.32100145635,278,8917.343347931372,11.415037366219972,1.3662165117250575,High,True,2.014219733521869,0,1,0,0,1,0,0
P1054,MCCB,Loyalty Program,146090.41327813175,17,35436.49564262721,38.65741438857567,6.980894992457165,Medium,False,2.85729254049853,0,0,0,1,1,0,0
P1003,Solar Solutions,Volume Discount,336837.04,361,12814.63,35.77,6.93,High,False,1.43,0,0,0,1,0,1,0
P1002,Controller,Volume Discount,78345.99,451,29856.39,19.14,16.92,Low,False,4.26,0,1,0,0,0,0,1
P1003,PSS,Seasonal Offer,310595.99,363,10229.85,39.36,6.23,High,True,3.83,0,0,1,0,0,0,1
P1002,RMU,Loyalty Points,118465.36,352,37563.67,23.13,10.3,Medium,False,4.31,0,1,0,0,0,0,1
P1099,Solar Solutions,Volume Discount,322679.9956269151,147,37098.6588602314,19.92497777768621,17.207892073793907,Medium,True,2.6592366858155563,0,1,0,0,1,0,0
P1040,VCU,Cashback,378859.36406825104,155,32010.55525571992,35.51433723104066,6.65559444783455,Low,False,4.414559256135037,0,0,0,1,0,0,1
P1002,ACB,Volume Discount,94556.07,345,49612.4,38.09,2.23,Medium,True,4.17,0,0,0,1,0,0,1
P1003,VCB,Cashback,173439.09,347,695.22,47.49,8.11,Medium,True,3.01,0,1,0,0,0,1,0
P1053,Controller,Volume Discount,74436.72631879592,47,19014.62149554252,29.349294898034703,12.949004694631135,High,False,2.1509212507582243,0,0,0,1,1,0,0
P1003,ACB,Cashback,279509.5,67,3534.78,40.28,2.04,Low,True,3.29,0,0,0,1,1,0,0
P1086,MCCB,Loyalty Program,90143.84199980664,90,41484.57508055594,4.19506025434541,2.0697073102042927,Low,True,2.93651813019829,0,1,0,0,0,1,0
P1001,Starter,Volume Discount,476670.02,247,9084.3,2.37,2.99,High,True,1.18,0,0,0,1,0,0,1
P1034,MCCB,Volume Discount,199961.72445547828,304,39254.61290535753,33.09486239039533,9.700843171913238,High,True,2.881635569941356,0,0,1,0,1,0,0
P1026,Pump Starter and Controller,Cashback,44595.04476086798,187,27908.75948403758,-4.076306714856319,7.580409950605776,Medium,False,2.5872177746110903,0,0,1,0,1,0,0
P1082,PSS,Cashback,338635.4754894919,215,5501.393403414739,6.390805586061476,2.450685936446276,Low,False,2.566530640156046,0,0,0,1,0,1,0
P1084,Controller,Volume Discount,508464.2897350354,427,12005.083399362258,39.71706254775271,9.249103491423163,Low,True,1.777368991501613,0,0,0,1,0,1,0
P1027,VCB,Volume Discount,436273.1473167997,524,35246.82819415496,31.856902811893555,2.020924583256827,High,True,3.789676401769909,1,0,0,0,1,0,0
P1002,RMU,Volume Discount,227792.481081376,460,12895.44316973934,35.17587909520775,2.719667841889549,Low,True,3.494331683778224,1,0,0,0,1,0,0
P1077,AIS,Volume Discount,126798.00961814568,353,45738.137334033,11.70844413450033,15.136010819107812,Medium,False,2.365788751389073,1,0,0,0,0,1,0
P1024,VCB,Loyalty Program,276780.57571779867,163,23387.49102622856,-0.5385142741321324,17.490558963883426,High,True,3.127372419969489,1,0,0,0,0,1,0
P1050,ACB,Seasonal Offer,30411.2665115568,253,13532.76808704296,27.660412976507686,5.155378009547625,High,True,2.662724059783312,0,0,1,0,1,0,0
P1014,RMU,Loyalty Program,448587.9784440626,270,41267.42192417945,-0.5083149076829113,17.64228255856663,High,True,1.9051515470892928,0,0,0,1,0,1,0
P1046,VCU,Seasonal Offer,119482.7821678692,50,37997.41356693451,30.88273683966884,14.565727558027186,High,False,2.936982587974609,0,0,0,1,0,1,0
P1098,ACB,Seasonal Offer,171767.92163575153,401,50030.950230072005,40.17897928206992,14.46489085589286,High,False,1.32617413714024,1,0,0,0,0,0,1
P1001,BBT,Loyalty Points,60759.97,253,955.52,34.79,7.08,Low,False,2.14,0,1,0,0,0,0,1
P1036,AIS,Loyalty Program,209505.2156518438,316,13423.738166728466,34.44398000722628,13.795522977254569,Medium,True,2.974749556462886,0,1,0,0,0,0,1
P1001,BBT,Loyalty Points,361168.18,20,43617.66,-4.17,12.13,Low,True,4.06,0,0,1,0,0,1,0
P1001,VCU,Seasonal Offer,87444.67,459,41325.21,13.06,8.43,Medium,True,2.34,0,0,0,1,0,1,0
P1001,AIS,Cashback,108063.64,158,46391.67,41.39,12.99,Medium,True,4.52,0,0,0,1,1,0,0
P1084,Controller,Volume Discount,87082.36202716276,442,31212.325761516426,46.25436157591136,15.02277782137272,Low,False,3.023980280393418,1,0,0,0,0,0,1
P1073,BBT,Volume Discount,187986.4259077083,182,19301.176521294678,10.573447749879104,16.881618570295124,Low,True,3.035374381982647,0,0,1,0,0,1,0
P1100,AIS,Cashback,139112.4625484116,303,36751.03043333896,22.52753272305608,12.52587215964171,Medium,False,1.1359303543330468,0,0,0,1,0,0,1
P1061,Solar Solutions,Volume Discount,293534.0378121805,213,680.6283725839701,41.73541779285953,11.582618694441098,Low,True,3.977470858262992,0,0,1,0,1,0,0
P1033,E-House,Cashback,468553.5715313807,61,4464.124039960944,45.718207261042366,0.7144202181484501,Medium,False,4.338080774662304,1,0,0,0,1,0,0
P1002,BBT,Loyalty Points,401092.73,364,23814.84,43.16,16.41,Low,True,3.65,0,0,0,1,0,0,1
P1003,Modular Switches,Seasonal Offer,293191.81,293,25518.3,40.63,0.3,High,False,3.05,1,0,0,0,0,0,1
P1001,E-House,Seasonal Offer,298936.35,397,41838.26,45.38,15.91,High,False,1.45,1,0,0,0,1,0,0
P1003,Starter,Cashback,31333.28,360,18529.03,-8.47,7.84,Low,False,3.61,0,0,1,0,0,0,1
P1012,MCCB,Volume Discount,493086.2924662797,361,27492.05410033584,-5.94434028202501,3.338003051292635,Low,True,1.7840667647041262,0,0,0,1,0,1,0
P1002,VCB,Seasonal Offer,312675.76,148,47645.49,7.35,12.75,Low,False,4.13,0,1,0,0,1,0,0
P1009,Pump Starter and Controller,Cashback,246384.74819451256,403,4302.804500322191,16.606048081709197,14.636107768615872,High,True,2.575086864956475,1,0,0,0,0,0,1
P1002,PSS,Loyalty Points,227577.01,115,26524.36,-6.3,2.35,Medium,False,4.91,0,0,0,1,0,0,1
P1001,VCB,Seasonal Offer,219051.84,237,43329.98,8.93,14.39,Medium,False,3.88,0,0,0,1,0,1,0
P1069,ACB,Cashback,203594.49665920043,438,49362.40910017778,26.1742517623628,5.738919436382933,Medium,True,3.536616168509483,0,1,0,0,0,1,0
P1098,E-House,Volume Discount,124259.51335681534,91,21563.53229739023,33.81679357397519,9.870561198398123,Low,True,4.044201090962635,0,1,0,0,1,0,0
P1003,AIS,Volume Discount,77317.91,382,996.7,-2.41,7.47,High,False,1.97,0,0,0,1,1,0,0
P1031,Pump Starter and Controller,Volume Discount,311135.08991507057,179,6377.314486523595,41.583775172748375,18.2967284470787,High,True,1.8989943678839245,0,0,0,1,1,0,0
P1009,Starter,Volume Discount,555462.1609795681,153,17616.676056535445,-7.628548295960615,12.332230981687209,Medium,False,3.292336278733685,0,1,0,0,1,0,0
P1003,E-House,Loyalty Points,105088.18,272,46910.83,44.75,17.95,Low,True,3.17,1,0,0,0,1,0,0
P1092,Solar Solutions,Seasonal Offer,240837.0655470314,28,35669.511426046774,38.95807638520193,13.10435419586996,Low,False,4.0900963204265,0,0,1,0,0,1,0
P1069,ACB,Volume Discount,497413.09017764736,467,4605.181336330129,18.360129373640863,17.52395458398479,Low,False,4.002337176445549,0,0,1,0,1,0,0
P1024,BBT,Loyalty Program,229446.30849703428,112,2944.2788475789457,37.270719226330726,12.40673207974336,High,True,2.1296686158709264,1,0,0,0,0,1,0
P1001,Controller,Loyalty Points,438421.26,485,19380.35,36.12,0.07,Medium,True,3.67,0,0,0,1,0,1,0
P1035,VCU,Seasonal Offer,169233.40610866636,312,14307.10329233901,48.09371067156087,14.268216619667676,High,True,1.0813172656470151,0,1,0,0,0,0,1
P1002,RMU,Seasonal Offer,396497.39,114,43431.91,17.33,16.11,Low,True,1.6,0,0,1,0,0,1,0
P1001,Controller,Loyalty Points,160780.08,85,47637.72,31.92,10.32,High,False,1.02,0,1,0,0,1,0,0
P1002,Modular Switches,Volume Discount,415538.42,96,6798.73,-7.11,11.44,Medium,False,2.72,0,1,0,0,0,1,0
P1002,Solar Solutions,Loyalty Points,374075.21,394,36951.35,37.84,8.26,High,True,4.51,0,0,0,1,0,0,1
P1072,Solar Solutions,Volume Discount,540386.1534842243,394,33186.94638054727,28.86401392173595,14.144718728960688,High,True,3.392419152852745,0,0,0,1,0,0,1
P1002,VCU,Loyalty Points,91238.27,114,23077.6,21.31,3.91,Low,False,1.34,1,0,0,0,0,1,0
P1002,VCB,Seasonal Offer,388476.78,81,20244.92,5.75,8.76,High,True,2.03,0,0,1,0,1,0,0
P1077,RMU,Seasonal Offer,488448.97527394624,211,43512.67157467101,29.75877730446897,6.233502245459106,High,True,2.3794832385412947,0,0,1,0,0,1,0
P1002,VCU,Volume Discount,297471.94,182,24864.97,-3.97,5.0,High,True,4.69,0,1,0,0,1,0,0
P1003,SDF,Cashback,136398.66,303,26001.7,25.76,8.11,Low,False,2.15,1,0,0,0,0,1,0
P1052,BBT,Loyalty Program,246182.9228051468,373,26235.04830727228,-7.357823790556329,4.200219574237558,Low,False,1.6484926770188453,0,1,0,0,1,0,0
