Partner_id,Recommended_Products,Similarity_Scores
522_2,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'PSS(Compact Sub-Stations)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
738_32,"['VCU(Vacuum Contactor Units)', 'MCCB(Moduled Case Circuit Breaker)', 'VCB(Vacuum Circuit Breaker)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
741_93,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'PSS(Compact Sub-Stations)']","[0.3552188552188552, 0.34595524956970736, 0.33274956217162877]"
661_12,"['VCB(Vacuum Circuit Breaker)', 'PSS(Compact Sub-Stations)', 'SDF(Switch Disconnectors)']","[0.34595524956970736, 0.3408304498269896, 0.3406408094435076]"
412_22,"['VCU(Vacuum Contactor Units)', 'VCB(Vacuum Circuit Breaker)', 'BBT(Busbar Trunking)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
679_49,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'PSS(Compact Sub-Stations)']","[0.3552188552188552, 0.34595524956970736, 0.33274956217162877]"
627_15,"['VCU(Vacuum Contactor Units)', 'MCCB(Moduled Case Circuit Breaker)', 'Modular Switches']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
514_64,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'ACB(Air Circuit Breaker)']","[0.3539518900343642, 0.3447098976109215, 0.34219269102990035]"
860_10,"['VCU(Vacuum Contactor Units)', 'MCCB(Moduled Case Circuit Breaker)', 'Modular Switches']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
137_58,"['VCU(Vacuum Contactor Units)', 'PSS(Compact Sub-Stations)', 'VCB(Vacuum Circuit Breaker)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
812_59,"['VCU(Vacuum Contactor Units)', 'PSS(Compact Sub-Stations)', 'VCB(Vacuum Circuit Breaker)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
077_8,"['VCU(Vacuum Contactor Units)', 'VCB(Vacuum Circuit Breaker)', 'BBT(Busbar Trunking)']","[0.3552188552188552, 0.347972972972973, 0.3466666666666667]"
637_89,"['VCU(Vacuum Contactor Units)', 'MCCB(Moduled Case Circuit Breaker)', 'VCB(Vacuum Circuit Breaker)']","[0.34595524956970736, 0.3408304498269896, 0.3406408094435076]"
974_47,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'VCB(Vacuum Circuit Breaker)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
939_84,"['VCU(Vacuum Contactor Units)', 'PSS(Compact Sub-Stations)', 'VCB(Vacuum Circuit Breaker)']","[0.3552188552188552, 0.34595524956970736, 0.33274956217162877]"
900_88,"['AIS(Air Insulated Switchgear)', 'VCB(Vacuum Circuit Breaker)', 'ACB(Air Circuit Breaker)']","[0.37323943661971826, 0.3447098976109215, 0.34150612959719795]"
281_21,"['MCCB(Moduled Case Circuit Breaker)', 'AIS(Air Insulated Switchgear)', 'ACB(Air Circuit Breaker)']","[0.37323943661971826, 0.3447098976109215, 0.34150612959719795]"
884_69,"['MCCB(Moduled Case Circuit Breaker)', 'AIS(Air Insulated Switchgear)', 'ACB(Air Circuit Breaker)']","[0.37323943661971826, 0.3447098976109215, 0.34150612959719795]"
762_70,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'ACB(Air Circuit Breaker)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
320_72,"['VCU(Vacuum Contactor Units)', 'MCCB(Moduled Case Circuit Breaker)', 'AIS(Air Insulated Switchgear)']","[0.37323943661971826, 0.3447098976109215, 0.34150612959719795]"
550_16,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'PSS(Compact Sub-Stations)']","[0.3552188552188552, 0.34595524956970736, 0.33274956217162877]"
175_75,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'PSS(Compact Sub-Stations)']","[0.34150612959719795, 0.33673469387755106, 0.3287671232876712]"
372_55,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'PSS(Compact Sub-Stations)']","[0.3552188552188552, 0.34595524956970736, 0.33274956217162877]"
528_51,"['VCU(Vacuum Contactor Units)', 'Modular Switches', 'VCB(Vacuum Circuit Breaker)']","[0.3539518900343642, 0.3447098976109215, 0.34219269102990035]"
211_11,"['PSS(Compact Sub-Stations)', 'VCB(Vacuum Circuit Breaker)', 'BBT(Busbar Trunking)']","[0.3552188552188552, 0.34595524956970736, 0.33274956217162877]"
