Partner_id,Recommended_Products,Similarity_Scores
522_20,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
738_5,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
741_1,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
661_86,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
412_58,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
679_31,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.3846153846153846), np.float64(0.38344594594594594), np.float64(0.37030716723549484)]"
627_61,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
514_41,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
860_1,"['ACB(Air Circuit Breaker)', 'MCCB(Moduled Case Circuit Breaker)', 'VCU(Vacuum Contactor Units)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
137_81,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'PSS(Compact Sub-Stations)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
812_4,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
077_43,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3733333333333333), np.float64(0.3573825503355704), np.float64(0.3504983388704319)]"
637_5,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
974_77,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.38344594594594594), np.float64(0.36142625607779577), np.float64(0.36046511627906974)]"
939_70,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
900_52,"['ACB(Air Circuit Breaker)', 'SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)']","[np.float64(0.3846153846153846), np.float64(0.36935483870967745), np.float64(0.36187399030694667)]"
