Partner_id,Product_id,Similarity_Scores,Scheme_1,Scheme_2,Scheme_3
001_3,SDF(Switch Disconnectors),3.774506972053015,Bulk Purchase,Loyalty,Discount
001_3,Starter,1.8888888888888888,Loyalty,Bulk Purchase,Discount
001_3,ACB(Air Circuit Breaker),1.8888888888888888,Loyalty,Bulk Purchase,Discount
002_80,VCU(Vacuum Contactor Units),3.369257357734473,Loyalty,Bulk Purchase,Discount
002_80,BBT(Busbar Trunking),1.677760776806747,Loyalty,Bulk Purchase,Discount
002_80,Pump Starter and Controller,1.677760776806747,Loyalty,Discount,Bulk Purchase
003_12,VCB(Vacuum Circuit Breaker),4.187781667034116,Loyalty,Bulk Purchase,Discount
003_12,ACB(Air Circuit Breaker),3.3859979412968433,Loyalty,Bulk Purchase,Discount
003_12,RMU(Ring Main Unit),2.540843686568327,Loyalty,Bulk Purchase,Discount
004_30,ACB(Air Circuit Breaker),3.871332216326744,Loyalty,Bulk Purchase,Discount
004_30,BBT(Busbar Trunking),3.164225435140196,Loyalty,Bulk Purchase,Discount
004_30,VCB(Vacuum Circuit Breaker),2.3896287658987125,Loyalty,Bulk Purchase,Discount
005_49,SDF(Switch Disconnectors),3.199023252744026,Bulk Purchase,Loyalty,Discount
005_49,Solar Solutions,3.1571233410577837,Bulk Purchase,Loyalty,Discount
005_49,VCU(Vacuum Contactor Units),2.3825266718163003,Loyalty,Bulk Purchase,Discount
006_96,PSS(Compact Sub-Stations),3.1717082451262844,Bulk Purchase,Loyalty,Discount
006_96,E-House,3.1717082451262844,Bulk Purchase,Loyalty,Discount
006_96,VCU(Vacuum Contactor Units),2.38113883008419,Loyalty,Bulk Purchase,Discount
007_73,E-House,3.478119921662107,Bulk Purchase,Loyalty,Discount
007_73,RMU(Ring Main Unit),3.4328628445079863,Loyalty,Bulk Purchase,Discount
007_73,MCCB(Moduled Case Circuit Breaker),2.575719987365129,Loyalty,Bulk Purchase,Discount
008_94,E-House,3.511642283821252,Bulk Purchase,Loyalty,Discount
008_94,Pump Starter and Controller,3.4729992228446234,Loyalty,Discount,Bulk Purchase
008_94,VCB(Vacuum Circuit Breaker),3.4503822927995293,Loyalty,Bulk Purchase,Discount
009_97,BBT(Busbar Trunking),3.576834984057023,Loyalty,Bulk Purchase,Discount
009_97,VCU(Vacuum Contactor Units),2.6999258756204334,Loyalty,Bulk Purchase,Discount
009_97,Starter,1.829537595841944,Loyalty,Bulk Purchase,Discount
010_33,PSS(Compact Sub-Stations),3.4341103409444056,Bulk Purchase,Loyalty,Discount
010_33,Controller,1.7285046100995225,Bulk Purchase,Discount,Loyalty
010_33,RMU(Ring Main Unit),1.7285046100995225,Loyalty,Bulk Purchase,Discount
011_25,RMU(Ring Main Unit),3.2996598285221195,Loyalty,Bulk Purchase,Discount
011_25,PSS(Compact Sub-Stations),3.2996598285221195,Bulk Purchase,Loyalty,Discount
011_25,AIS(Air Insulated Switchgear),2.483163247594393,Loyalty,Bulk Purchase,Discount
012_74,AIS(Air Insulated Switchgear),3.5040808376086465,Loyalty,Bulk Purchase,Discount
012_74,VCB(Vacuum Circuit Breaker),3.3612236947515037,Loyalty,Bulk Purchase,Discount
012_74,Modular Switches,3.3612236947515037,Loyalty,Bulk Purchase,Discount
013_90,Controller,3.377718688191052,Bulk Purchase,Discount,Loyalty
013_90,SDF(Switch Disconnectors),3.3555215536134937,Bulk Purchase,Loyalty,Discount
013_90,E-House,3.3555215536134937,Bulk Purchase,Loyalty,Discount
014_70,SDF(Switch Disconnectors),4.23991676062181,Bulk Purchase,Loyalty,Discount
014_70,MCCB(Moduled Case Circuit Breaker),2.47954450254402,Loyalty,Bulk Purchase,Discount
014_70,E-House,2.47954450254402,Bulk Purchase,Loyalty,Discount
015_14,SDF(Switch Disconnectors),2.4955866094142056,Bulk Purchase,Loyalty,Discount
015_14,VCB(Vacuum Circuit Breaker),2.4835980069998653,Loyalty,Bulk Purchase,Discount
015_14,VCU(Vacuum Contactor Units),1.681814281262592,Loyalty,Bulk Purchase,Discount
016_22,E-House,3.3660254037844393,Bulk Purchase,Loyalty,Discount
016_22,BBT(Busbar Trunking),3.3660254037844393,Loyalty,Bulk Purchase,Discount
016_22,Modular Switches,2.532692070451106,Loyalty,Bulk Purchase,Discount
017_24,MCCB(Moduled Case Circuit Breaker),3.5483372152955073,Loyalty,Bulk Purchase,Discount
017_24,SDF(Switch Disconnectors),2.6594483264066184,Bulk Purchase,Loyalty,Discount
017_24,Pump Starter and Controller,2.6594483264066184,Loyalty,Discount,Bulk Purchase
018_10,Controller,1.8,Bulk Purchase,Discount,Loyalty
018_10,SDF(Switch Disconnectors),1.752543521320949,Bulk Purchase,Loyalty,Discount
018_10,Modular Switches,1.743274042711568,Loyalty,Bulk Purchase,Discount
019_81,BBT(Busbar Trunking),3.5106598516419822,Loyalty,Bulk Purchase,Discount
019_81,PSS(Compact Sub-Stations),1.7525435213209488,Bulk Purchase,Loyalty,Discount
019_81,AIS(Air Insulated Switchgear),0.9000000000000001,Loyalty,Bulk Purchase,Discount
020_90,Starter,2.529822128134704,Loyalty,Bulk Purchase,Discount
