Partner_ID,Recommended_Products,Similarity_Scores
001_3,"['SDF(Switch Disconnectors)', 'Starter', 'ACB(Air Circuit Breaker)']","[3.774506972053015, 1.8888888888888888, 1.8888888888888888]"
002_80,"['VCU(Vacuum Contactor Units)', 'BBT(Busbar Trunking)', 'Pump Starter and Controller']","[3.369257357734473, 1.677760776806747, 1.677760776806747]"
003_12,"['VCB(Vacuum Circuit Breaker)', 'ACB(Air Circuit Breaker)', 'RMU(Ring Main Unit)']","[4.187781667034116, 3.3859979412968433, 2.540843686568327]"
004_30,"['ACB(Air Circuit Breaker)', 'BBT(Busbar Trunking)', 'VCB(Vacuum Circuit Breaker)']","[3.871332216326744, 3.164225435140196, 2.3896287658987125]"
005_49,"['SDF(Switch Disconnectors)', 'Solar Solutions', 'VCU(Vacuum Contactor Units)']","[3.199023252744026, 3.1571233410577837, 2.3825266718163003]"
006_96,"['PSS(Compact Sub-Stations)', 'E-House', 'VCU(Vacuum Contactor Units)']","[3.1717082451262844, 3.1717082451262844, 2.38113883008419]"
007_73,"['E-House', 'RMU(Ring Main Unit)', 'MCCB(Moduled Case Circuit Breaker)']","[3.478119921662107, 3.4328628445079863, 2.575719987365129]"
008_94,"['E-House', 'Pump Starter and Controller', 'VCB(Vacuum Circuit Breaker)']","[3.511642283821252, 3.4729992228446234, 3.4503822927995293]"
009_97,"['BBT(Busbar Trunking)', 'VCU(Vacuum Contactor Units)', 'Starter']","[3.576834984057023, 2.6999258756204334, 1.829537595841944]"
010_33,"['PSS(Compact Sub-Stations)', 'Controller', 'RMU(Ring Main Unit)']","[3.4341103409444056, 1.7285046100995225, 1.7285046100995225]"
011_25,"['RMU(Ring Main Unit)', 'PSS(Compact Sub-Stations)', 'AIS(Air Insulated Switchgear)']","[3.2996598285221195, 3.2996598285221195, 2.483163247594393]"
012_74,"['AIS(Air Insulated Switchgear)', 'VCB(Vacuum Circuit Breaker)', 'Modular Switches']","[3.5040808376086465, 3.3612236947515037, 3.3612236947515037]"
013_90,"['Controller', 'SDF(Switch Disconnectors)', 'E-House']","[3.377718688191052, 3.3555215536134937, 3.3555215536134937]"
014_70,"['SDF(Switch Disconnectors)', 'MCCB(Moduled Case Circuit Breaker)', 'E-House']","[4.23991676062181, 2.47954450254402, 2.47954450254402]"
015_14,"['SDF(Switch Disconnectors)', 'VCB(Vacuum Circuit Breaker)', 'VCU(Vacuum Contactor Units)']","[2.4955866094142056, 2.4835980069998653, 1.681814281262592]"
016_22,"['E-House', 'BBT(Busbar Trunking)', 'Modular Switches']","[3.3660254037844393, 3.3660254037844393, 2.532692070451106]"
017_24,"['MCCB(Moduled Case Circuit Breaker)', 'SDF(Switch Disconnectors)', 'Pump Starter and Controller']","[3.5483372152955073, 2.6594483264066184, 2.6594483264066184]"
018_10,"['Controller', 'SDF(Switch Disconnectors)', 'Modular Switches']","[1.8, 1.752543521320949, 1.743274042711568]"
019_81,"['BBT(Busbar Trunking)', 'PSS(Compact Sub-Stations)', 'AIS(Air Insulated Switchgear)']","[3.5106598516419822, 1.7525435213209488, 0.9000000000000001]"
020_90,"['Starter', 'PSS(Compact Sub-Stations)', 'BBT(Busbar Trunking)']","[2.529822128134704, 2.529822128134704, 1.7092994464960065]"
