Partner_id,Product_id,Similarity_Scores,Scheme_1,Scheme_2,Scheme_3
001_33,Pump Starter and Controller,3.421406709186757,Discount,Bulk Purchase,Loyalty
001_33,Solar Solutions,3.3527294665570624,Discount,Bulk Purchase,Loyalty
001_33,PSS(Compact Sub-Stations),2.5847466826526815,Bulk Purchase,Loyalty,Discount
002_32,Modular Switches,4.220771419668042,Discount,Bulk Purchase,Loyalty
002_32,MCCB(Moduled Case Circuit Breaker),3.375617164939525,Bulk Purchase,Discount,Loyalty
002_32,BBT(Busbar Trunking),2.5389571384054492,Discount,Bulk Purchase,Loyalty
003_8,MCCB(Moduled Case Circuit Breaker),3.602879500955848,Bulk Purchase,Discount,Loyalty
003_8,Starter,3.589656962593851,Discount,Bulk Purchase,Loyalty
003_8,AIS(Air Insulated Switchgear),3.5202680196848046,Bulk Purchase,Discount,Loyalty
004_51,VCB(Vacuum Circuit Breaker),4.142524589879995,Bulk Purchase,Discount,Loyalty
004_51,Controller,3.297370335151479,Bulk Purchase,Loyalty,Discount
004_51,Pump Starter and Controller,2.5040808376086465,Discount,Bulk Purchase,Loyalty
005_9,RMU(Ring Main Unit),3.5604143466934843,Discount,Bulk Purchase,Loyalty
005_9,Pump Starter and Controller,3.5103722580777905,Discount,Bulk Purchase,Loyalty
005_9,VCB(Vacuum Circuit Breaker),3.4499579113843044,Bulk Purchase,Discount,Loyalty
006_19,PSS(Compact Sub-Stations),4.335262778804964,Bulk Purchase,Loyalty,Discount
006_19,VCU(Vacuum Contactor Units),4.335262778804964,Bulk Purchase,Loyalty,Discount
006_19,MCCB(Moduled Case Circuit Breaker),3.4533456751167675,Bulk Purchase,Discount,Loyalty
007_99,Controller,3.5468716334354093,Bulk Purchase,Loyalty,Discount
007_99,Solar Solutions,2.65798274454652,Discount,Bulk Purchase,Loyalty
007_99,VCU(Vacuum Contactor Units),1.8147087018349524,Bulk Purchase,Loyalty,Discount
008_97,VCB(Vacuum Circuit Breaker),1.8461538461538463,Bulk Purchase,Discount,Loyalty
008_97,Modular Switches,0.9198662110077999,Discount,Bulk Purchase,Loyalty
009_39,Controller,2.6596948814659744,Bulk Purchase,Loyalty,Discount
009_39,MCCB(Moduled Case Circuit Breaker),2.607108250087961,Bulk Purchase,Discount,Loyalty
009_39,AIS(Air Insulated Switchgear),1.7638342073763935,Bulk Purchase,Discount,Loyalty
010_11,BBT(Busbar Trunking),3.64311048905043,Discount,Bulk Purchase,Loyalty
010_11,VCB(Vacuum Circuit Breaker),1.848683298050514,Bulk Purchase,Discount,Loyalty
010_11,Pump Starter and Controller,1.8067996283715468,Discount,Bulk Purchase,Loyalty
011_30,PSS(Compact Sub-Stations),3.2420112037458946,Bulk Purchase,Loyalty,Discount
011_30,RMU(Ring Main Unit),3.2420112037458946,Discount,Bulk Purchase,Loyalty
011_30,VCB(Vacuum Circuit Breaker),3.2420112037458946,Bulk Purchase,Discount,Loyalty
012_61,SDF(Switch Disconnectors),4.220771419668042,Bulk Purchase,Loyalty,Discount
012_61,RMU(Ring Main Unit),3.3756171649395244,Discount,Bulk Purchase,Loyalty
012_61,Modular Switches,2.5389571384054492,Discount,Bulk Purchase,Loyalty
013_1,Pump Starter and Controller,2.5158553180454986,Discount,Bulk Purchase,Loyalty
013_1,Solar Solutions,1.6993587371177723,Discount,Bulk Purchase,Loyalty
013_1,RMU(Ring Main Unit),1.6825219847121649,Discount,Bulk Purchase,Loyalty
014_50,Starter,3.508190001404148,Discount,Bulk Purchase,Loyalty
